iter	Passed	Remaining
177	940	2230
178	945	2223
179	949	2215
180	954	2209
181	958	2200
182	962	2193
183	966	2185
184	970	2177
185	974	2169
186	978	2160
187	982	2153
188	986	2145
189	991	2138
190	995	2131
191	999	2124
192	1004	2118
193	1009	2112
194	1013	2103
195	1016	2096
196	1020	2087
197	1024	2079
198	1028	2071
199	1034	2069
200	1042	2068
201	1045	2060
202	1050	2054
203	1055	2049
204	1059	2040
205	1063	2034
206	1067	2026
207	1070	2017
208	1076	2013
209	1087	2019
210	1091	2012
211	1095	2005
212	1099	1998
213	1103	1991
214	1107	1983
215	1111	1976
216	1115	1968
217	1118	1960
218	1122	1953
219	1125	1944
220	1129	1937
221	1133	1929
222	1137	1922
223	1141	1915
224	1145	1908
225	1149	1901
226	1152	1894
227	1157	1888
228	1160	1880
229	1164	1873
230	1169	1867
231	1172	1860
232	1177	1854
233	1182	1848
234	1185	1841
235	1189	1835
236	1194	1828
237	1197	1822
238	1201	1814
239	1205	1808
240	1209	1802
241	1215	1797
242	1228	1804
243	1236	1804
244	1249	1810
245	1257	1810
246	1266	1810
247	1276	1811
248	1286	1812
249	1291	1807
250	1295	1801
251	1300	1795
252	1303	1788
253	1308	1782
254	1312	1775
255	1316	1769
256	1320	1761
257	1323	1754
258	1327	1748
259	1331	1741
260	1335	1734
261	1339	1727
262	1342	1720
263	1346	1714
264	1350	1706
265	1354	1701
266	1358	1694
267	1362	1688
268	1365	1680
269	1370	1674
270	1374	1668
271	1378	1662
272	1382	1655
273	1393	1658
274	1398	1652
275	1402	1645
276	1406	1639
277	1410	1633
278	1416	1629
279	1422	1625
280	1431	1625
281	1436	1620
282	1440	1613
283	1443	1606
284	1447	1599
285	1450	1592
286	1454	1586
287	1458	1580
288	1462	1573
289	1466	1567
290	1469	1560
291	1473	1554
292	1477	1547
293	1481	1541
294	1488	1539
295	1492	1532
296	1496	1526
297	1499	1519
298	1503	1513
299	1507	1507
300	1511	1501
301	1516	1496
302	1519	1489
303	1522	1482
304	1526	1476
305	1530	1470
306	1534	1464
307	1539	1459
308	1542	1452
309	1547	1447
310	1551	1441
311	1558	1438
312	1565	1435
313	1574	1433
314	1579	1428
315	1582	1422
316	1585	1415
317	1590	1410
318	1593	1404
319	1597	1398
320	1600	1391
321	1604	1385
322	1608	1379
323	1612	1373
324	1616	1367
325	1618	1360
326	1621	1354
327	1625	1347
328	1629	1342
329	1633	1336
330	1636	1330
331	1645	1328
332	1657	1328
333	1660	1322
334	1663	1316
335	1667	1310
336	1671	1304
337	1677	1300
338	1687	1299
339	1691	1293
340	1696	1288
341	1700	1282
342	1704	1276
343	1707	1270
344	1711	1264
345	1714	1258
346	1718	1252
347	1722	1247
348	1725	1240
349	1728	1234
350	1732	1229
351	1735	1223
352	1738	1216
353	1743	1211
354	1747	1206
355	1750	1200
356	1755	1194
357	1757	1188
358	1761	1182
359	1765	1177
360	1769	1171
361	1773	1165
362	1776	1160
363	1781	1154
364	1785	1149
365	1789	1143
366	1792	1138
367	1796	1132
368	1802	1128
369	1809	1125
370	1816	1121
371	1821	1116
372	1831	1114
373	1839	1111
374	1845	1107
375	1850	1102
376	1856	1098
377	1863	1094
378	1867	1088
379	1872	1084
380	1878	1079
381	1887	1076
382	1897	1074
383	1904	1071
384	1910	1067
385	1915	1061
386	1920	1057
387	1926	1052
388	1932	1048
389	1938	1043
390	1945	1039
391	1951	1035
392	1955	1029
393	1960	1025
394	1966	1020
395	1971	1015
396	1980	1012
397	1992	1011
398	2013	1014
399	2024	1012
400	2032	1008
401	2037	1003
402	2042	998
403	2049	994
404	2054	989
405	2060	984
406	2066	980
407	2072	975
408	2077	970
409	2082	965
410	2087	960
411	2094	955
412	2102	952
413	2106	946
414	2110	940
415	2114	935
416	2118	929
417	2122	924
418	2126	918
419	2130	913
420	2134	907
421	2139	902
422	2142	896
423	2146	891
424	2151	885
